@relation carimage-weka.filters.unsupervised.instance.RemoveFrequentValues-Clast-N2-H

@attribute image_red numeric
@attribute image_green numeric
@attribute image_blue numeric
@attribute class {NON_NAVIGABLE,NAVIGABLE,BORDER}

@data
140,197,165,NAVIGABLE
138,195,163,NAVIGABLE
138,195,161,NAVIGABLE
140,196,161,NAVIGABLE
138,194,158,NAVIGABLE
135,189,153,NAVIGABLE
131,184,149,NAVIGABLE
130,181,146,NAVIGABLE
129,180,145,NAVIGABLE
129,180,146,NAVIGABLE
130,181,148,NAVIGABLE
133,185,152,NAVIGABLE
135,188,155,NAVIGABLE
134,189,156,NAVIGABLE
133,189,156,NAVIGABLE
132,189,158,NAVIGABLE
131,190,159,NAVIGABLE
131,191,160,NAVIGABLE
133,192,161,NAVIGABLE
134,191,160,NAVIGABLE
134,187,157,NAVIGABLE
134,186,156,NAVIGABLE
134,186,156,NAVIGABLE
134,186,156,NAVIGABLE
135,187,157,NAVIGABLE
136,188,158,NAVIGABLE
134,186,156,NAVIGABLE
128,180,150,NAVIGABLE
132,184,154,NAVIGABLE
131,183,153,NAVIGABLE
133,185,155,NAVIGABLE
135,187,157,NAVIGABLE
133,185,155,NAVIGABLE
128,180,150,NAVIGABLE
126,178,148,NAVIGABLE
128,179,150,NAVIGABLE
130,181,153,NAVIGABLE
133,184,156,NAVIGABLE
134,185,157,NAVIGABLE
133,184,156,NAVIGABLE
131,182,154,NAVIGABLE
130,181,153,NAVIGABLE
131,182,153,NAVIGABLE
131,183,153,NAVIGABLE
130,183,152,NAVIGABLE
130,183,150,NAVIGABLE
130,183,150,NAVIGABLE
132,185,152,NAVIGABLE
134,187,154,NAVIGABLE
129,182,149,NAVIGABLE
126,182,147,NAVIGABLE
126,181,146,NAVIGABLE
123,176,143,NAVIGABLE
125,176,144,NAVIGABLE
126,175,143,NAVIGABLE
125,174,142,NAVIGABLE
125,174,142,NAVIGABLE
127,176,144,NAVIGABLE
130,179,147,NAVIGABLE
130,179,147,NAVIGABLE
125,174,142,NAVIGABLE
124,174,142,NAVIGABLE
129,179,147,NAVIGABLE
127,177,145,NAVIGABLE
125,175,144,NAVIGABLE
124,174,142,NAVIGABLE
126,176,144,NAVIGABLE
129,180,148,NAVIGABLE
134,184,153,NAVIGABLE
135,187,157,NAVIGABLE
130,187,159,NAVIGABLE
130,188,161,NAVIGABLE
131,189,161,NAVIGABLE
131,187,159,NAVIGABLE
130,183,156,NAVIGABLE
127,180,152,NAVIGABLE
125,177,150,NAVIGABLE
125,177,149,NAVIGABLE
127,179,151,NAVIGABLE
129,181,153,NAVIGABLE
130,182,155,NAVIGABLE
134,186,159,NAVIGABLE
136,190,162,NAVIGABLE
138,192,164,NAVIGABLE
141,195,167,NAVIGABLE
141,197,168,NAVIGABLE
139,195,166,NAVIGABLE
137,192,163,NAVIGABLE
135,190,161,NAVIGABLE
132,185,156,NAVIGABLE
128,181,152,NAVIGABLE
126,177,149,NAVIGABLE
125,173,147,NAVIGABLE
124,171,145,NAVIGABLE
125,171,145,NAVIGABLE
127,171,147,NAVIGABLE
131,172,150,NAVIGABLE
133,173,152,NAVIGABLE
132,170,150,NAVIGABLE
128,164,145,NAVIGABLE
123,158,139,NAVIGABLE
118,152,133,NAVIGABLE
114,146,128,NAVIGABLE
112,141,125,NAVIGABLE
105,132,118,NAVIGABLE
103,129,115,NAVIGABLE
100,125,111,NAVIGABLE
98,123,109,NAVIGABLE
98,121,107,NAVIGABLE
98,121,107,NAVIGABLE
98,121,107,NAVIGABLE
97,120,106,NAVIGABLE
98,119,106,NAVIGABLE
99,119,106,NAVIGABLE
99,119,106,NAVIGABLE
99,119,106,NAVIGABLE
98,118,105,NAVIGABLE
98,118,105,NAVIGABLE
98,118,105,NAVIGABLE
97,117,104,NAVIGABLE
97,117,104,NAVIGABLE
98,117,105,NAVIGABLE
98,117,105,NAVIGABLE
98,117,105,NAVIGABLE
99,117,105,NAVIGABLE
98,118,106,NAVIGABLE
98,118,106,NAVIGABLE
97,119,106,NAVIGABLE
97,119,106,NAVIGABLE
98,120,107,NAVIGABLE
100,123,110,NAVIGABLE
101,124,111,NAVIGABLE
101,125,113,NAVIGABLE
101,125,112,NAVIGABLE
98,124,111,NAVIGABLE
99,125,112,NAVIGABLE
100,126,112,NAVIGABLE
101,126,113,NAVIGABLE
100,122,110,NAVIGABLE
100,120,108,NAVIGABLE
99,119,107,NAVIGABLE
99,119,107,NAVIGABLE
98,118,106,NAVIGABLE
97,117,105,NAVIGABLE
96,116,104,NAVIGABLE
95,115,103,NAVIGABLE
95,115,103,NAVIGABLE
94,114,102,NAVIGABLE
94,114,102,NAVIGABLE
94,114,102,NAVIGABLE
94,114,102,NAVIGABLE
95,115,103,NAVIGABLE
95,115,103,NAVIGABLE
95,115,103,NAVIGABLE
96,116,104,NAVIGABLE
97,115,105,NAVIGABLE
98,115,106,NAVIGABLE
99,116,107,NAVIGABLE
99,117,108,NAVIGABLE
99,117,108,NAVIGABLE
98,117,108,NAVIGABLE
98,117,108,NAVIGABLE
99,118,109,NAVIGABLE
101,120,111,NAVIGABLE
100,121,112,NAVIGABLE
100,121,112,NAVIGABLE
99,120,111,NAVIGABLE
100,121,112,NAVIGABLE
100,122,113,NAVIGABLE
100,124,114,NAVIGABLE
102,126,116,NAVIGABLE
103,127,117,NAVIGABLE
104,128,118,NAVIGABLE
109,133,123,NAVIGABLE
108,132,122,NAVIGABLE
107,131,121,NAVIGABLE
105,129,119,NAVIGABLE
104,128,118,NAVIGABLE
104,128,118,NAVIGABLE
104,128,118,NAVIGABLE
104,129,119,NAVIGABLE
104,129,119,NAVIGABLE
105,130,120,NAVIGABLE
104,130,120,NAVIGABLE
103,130,120,NAVIGABLE
104,131,121,NAVIGABLE
105,132,122,NAVIGABLE
107,134,124,NAVIGABLE
109,136,126,NAVIGABLE
109,138,127,NAVIGABLE
108,140,127,NAVIGABLE
108,141,127,NAVIGABLE
108,142,128,NAVIGABLE
111,143,129,NAVIGABLE
113,142,129,NAVIGABLE
114,140,127,NAVIGABLE
112,137,125,NAVIGABLE
109,133,121,NAVIGABLE
107,131,119,NAVIGABLE
107,131,119,NAVIGABLE
109,133,121,NAVIGABLE
110,136,124,NAVIGABLE
112,141,128,NAVIGABLE
115,147,134,NAVIGABLE
118,153,139,NAVIGABLE
121,158,144,NAVIGABLE
123,162,147,NAVIGABLE
124,164,149,NAVIGABLE
127,168,153,NAVIGABLE
126,167,152,NAVIGABLE
125,166,151,NAVIGABLE
125,166,151,NAVIGABLE
125,167,152,NAVIGABLE
125,168,153,NAVIGABLE
127,170,155,NAVIGABLE
130,173,158,NAVIGABLE
133,176,161,NAVIGABLE
136,181,165,NAVIGABLE
136,181,165,NAVIGABLE
134,179,163,NAVIGABLE
133,178,162,NAVIGABLE
132,177,161,NAVIGABLE
130,175,159,NAVIGABLE
127,172,156,NAVIGABLE
123,169,153,NAVIGABLE
122,168,152,NAVIGABLE
125,169,153,NAVIGABLE
123,166,151,NAVIGABLE
122,165,150,NAVIGABLE
123,166,151,NAVIGABLE
126,169,154,NAVIGABLE
129,172,157,NAVIGABLE
130,173,158,NAVIGABLE
130,173,158,NAVIGABLE
128,171,156,NAVIGABLE
126,169,154,NAVIGABLE
127,170,155,NAVIGABLE
128,171,156,NAVIGABLE
128,171,156,NAVIGABLE
127,171,155,NAVIGABLE
127,171,155,NAVIGABLE
128,172,156,NAVIGABLE
129,173,158,NAVIGABLE
130,175,159,NAVIGABLE
129,176,160,NAVIGABLE
125,172,156,NAVIGABLE
122,169,153,NAVIGABLE
124,170,154,NAVIGABLE
128,174,158,NAVIGABLE
131,177,161,NAVIGABLE
131,177,161,NAVIGABLE
129,174,158,NAVIGABLE
125,170,154,NAVIGABLE
122,167,151,NAVIGABLE
121,166,150,NAVIGABLE
121,164,149,NAVIGABLE
123,166,151,NAVIGABLE
126,169,154,NAVIGABLE
127,170,155,NAVIGABLE
140,196,165,NAVIGABLE
139,196,164,NAVIGABLE
139,196,164,NAVIGABLE
140,195,162,NAVIGABLE
137,192,158,NAVIGABLE
133,188,154,NAVIGABLE
130,183,149,NAVIGABLE
128,179,146,NAVIGABLE
128,179,146,NAVIGABLE
130,180,147,NAVIGABLE
131,181,150,NAVIGABLE
135,186,154,NAVIGABLE
136,188,157,NAVIGABLE
136,190,158,NAVIGABLE
135,190,159,NAVIGABLE
133,190,159,NAVIGABLE
132,190,159,NAVIGABLE
132,191,160,NAVIGABLE
134,193,162,NAVIGABLE
137,194,163,NAVIGABLE
137,191,162,NAVIGABLE
135,188,159,NAVIGABLE
135,188,158,NAVIGABLE
136,189,159,NAVIGABLE
136,189,160,NAVIGABLE
135,189,159,NAVIGABLE
133,186,156,NAVIGABLE
129,182,153,NAVIGABLE
133,186,157,NAVIGABLE
133,186,156,NAVIGABLE
133,186,157,NAVIGABLE
